"legendary","packId","cards","opener","timestamp","txId"
false,"5730","[""OTK157-642"",""OTK114-656"",""OTK164-461"",""OTK093-656"",""OTK094-656"",""OTK096-656"",""OTK064-229"",""OTK037-140""]","terra140qte4xal3r53fq5j6pv4kktxs9954cf67ndkg","2022-05-10T08:40:14Z",278253438
false,"6231","[""OTK154-654"",""OTK106-656"",""OTK157-641"",""OTK095-656"",""OTK103-656"",""OTK071-229"",""OTK063-229"",""OTK054-129""]","terra140qte4xal3r53fq5j6pv4kktxs9954cf67ndkg","2022-05-10T08:35:56Z",278250013
false,"8512","[""OTK120-656"",""OTK117-656"",""OTK153-655"",""OTK151-656"",""OTK113-656"",""OTK061-229"",""OTK062-229"",""OTK047-119""]","terra140qte4xal3r53fq5j6pv4kktxs9954cf67ndkg","2022-05-10T08:32:55Z",278247300
false,"7992","[""OTK122-655"",""OTK150-655"",""OTK152-655"",""OTK097-656"",""OTK119-656"",""OTK090-229"",""OTK080-229"",""OTK059-112""]","terra140qte4xal3r53fq5j6pv4kktxs9954cf67ndkg","2022-05-10T08:29:54Z",278245150
false,"8075","[""OTK119-655"",""OTK153-654"",""OTK161-491"",""OTK120-655"",""OTK100-655"",""OTK105-655"",""OTK065-229"",""OTK046-112""]","terra140qte4xal3r53fq5j6pv4kktxs9954cf67ndkg","2022-05-10T08:27:20Z",278242993
false,"7173","[""OTK117-655"",""OTK118-655"",""OTK096-655"",""OTK121-655"",""OTK152-654"",""OTK113-655"",""OTK140-182"",""OTK052-113""]","terra140qte4xal3r53fq5j6pv4kktxs9954cf67ndkg","2022-05-10T08:26:38Z",278242342
false,"5238","[""OTK112-655"",""OTK156-653"",""OTK158-512"",""OTK106-655"",""OTK095-655"",""OTK086-228"",""OTK088-228"",""OTK041-123""]","terra140qte4xal3r53fq5j6pv4kktxs9954cf67ndkg","2022-05-10T08:22:03Z",278238556
false,"8394","[""OTK092-655"",""OTK099-655"",""OTK110-655"",""OTK164-460"",""OTK154-653"",""OTK082-228"",""OTK083-228"",""OTK053-129""]","terra140qte4xal3r53fq5j6pv4kktxs9954cf67ndkg","2022-05-10T08:15:08Z",278233039
false,"6062","[""OTK163-486"",""OTK103-655"",""OTK151-655"",""OTK104-655"",""OTK111-655"",""OTK094-655"",""OTK081-228"",""OTK045-122""]","terra140qte4xal3r53fq5j6pv4kktxs9954cf67ndkg","2022-05-10T08:14:36Z",278232614
false,"7348","[""OTK154-652"",""OTK116-655"",""OTK164-459"",""OTK093-655"",""OTK107-655"",""OTK101-655"",""OTK078-228"",""OTK043-116""]","terra140qte4xal3r53fq5j6pv4kktxs9954cf67ndkg","2022-05-10T08:13:56Z",278232089
false,"4812","[""OTK115-655"",""OTK098-655"",""OTK114-655"",""OTK161-490"",""OTK109-655"",""OTK108-655"",""OTK077-228"",""OTK048-147""]","terra140qte4xal3r53fq5j6pv4kktxs9954cf67ndkg","2022-05-10T08:08:03Z",278227205
false,"929","[""OTK153-653"",""OTK163-485"",""OTK118-654"",""OTK119-654"",""OTK097-655"",""OTK102-655"",""OTK073-228"",""OTK056-128""]","terra140qte4xal3r53fq5j6pv4kktxs9954cf67ndkg","2022-05-10T08:06:45Z",278226137
false,"7192","[""OTK117-654"",""OTK157-640"",""OTK150-654"",""OTK114-654"",""OTK096-654"",""OTK115-654"",""OTK087-228"",""OTK055-99""]","terra140qte4xal3r53fq5j6pv4kktxs9954cf67ndkg","2022-05-10T08:06:16Z",278225730
false,"716","[""OTK160-499"",""OTK112-654"",""OTK116-654"",""OTK150-653"",""OTK113-654"",""OTK071-228"",""OTK072-228"",""OTK047-118""]","terra140qte4xal3r53fq5j6pv4kktxs9954cf67ndkg","2022-05-10T08:05:25Z",278225030
false,"9102","[""OTK162-506"",""OTK164-458"",""OTK094-654"",""OTK108-654"",""OTK110-654"",""OTK111-654"",""OTK069-228"",""OTK057-116""]","terra140qte4xal3r53fq5j6pv4kktxs9954cf67ndkg","2022-05-10T08:04:33Z",278224324
false,"5077","[""OTK101-654"",""OTK107-654"",""OTK157-639"",""OTK161-489"",""OTK104-654"",""OTK109-654"",""OTK068-228"",""OTK044-121""]","terra140qte4xal3r53fq5j6pv4kktxs9954cf67ndkg","2022-05-10T08:03:16Z",278223212
false,"6577","[""OTK106-654"",""OTK095-654"",""OTK100-654"",""OTK103-654"",""OTK122-654"",""OTK146-50"",""OTK089-228"",""OTK048-146""]","terra140qte4xal3r53fq5j6pv4kktxs9954cf67ndkg","2022-05-10T08:02:05Z",278221724
false,"374","[""OTK151-654"",""OTK097-654"",""OTK099-654"",""OTK160-498"",""OTK093-654"",""OTK121-654"",""OTK066-228"",""OTK057-115""]","terra140qte4xal3r53fq5j6pv4kktxs9954cf67ndkg","2022-05-10T08:01:20Z",278221014
false,"2971","[""OTK102-654"",""OTK092-654"",""OTK159-479"",""OTK120-654"",""OTK105-654"",""OTK091-228"",""OTK074-228"",""OTK136-182""]","terra140qte4xal3r53fq5j6pv4kktxs9954cf67ndkg","2022-05-10T08:00:47Z",278220465
false,"2238","[""OTK103-653"",""OTK121-653"",""OTK154-651"",""OTK158-511"",""OTK106-653"",""OTK098-654"",""OTK067-228"",""OTK037-139""]","terra140qte4xal3r53fq5j6pv4kktxs9954cf67ndkg","2022-05-10T08:00:07Z",278219893
false,"4478","[""OTK112-653"",""OTK099-653"",""OTK102-653"",""OTK120-653"",""OTK152-653"",""OTK104-653"",""OTK142-47"",""OTK041-122""]","terra1j5qjcdxkft5xl8p9e68qp7qj5zz4rpmzksa7ug","2022-05-10T03:21:08Z",277885745
false,"3132","[""OTK157-638"",""OTK115-653"",""OTK098-653"",""OTK111-653"",""OTK101-653"",""OTK080-228"",""OTK064-228"",""OTK131-182""]","terra1j5qjcdxkft5xl8p9e68qp7qj5zz4rpmzksa7ug","2022-05-10T03:19:11Z",277882634
false,"1745","[""OTK118-653"",""OTK107-653"",""OTK114-653"",""OTK096-653"",""OTK100-653"",""OTK140-181"",""OTK070-228"",""OTK135-182""]","terra140qte4xal3r53fq5j6pv4kktxs9954cf67ndkg","2022-05-10T01:28:53Z",277733067
false,"7567","[""OTK151-653"",""OTK094-653"",""OTK157-637"",""OTK093-653"",""OTK095-653"",""OTK063-228"",""OTK076-228"",""OTK046-111""]","terra140qte4xal3r53fq5j6pv4kktxs9954cf67ndkg","2022-05-10T01:03:58Z",277692820
false,"1303","[""OTK109-653"",""OTK153-652"",""OTK105-653"",""OTK155-652"",""OTK116-653"",""OTK110-653"",""OTK084-228"",""OTK054-128""]","terra140qte4xal3r53fq5j6pv4kktxs9954cf67ndkg","2022-05-10T00:30:43Z",277638637
